,node_number,drone_number,capacity_of_drones,arc_weight,result,type
521,100,15,540,30,-1,Not Cover
522,100,15,600,5,-1,Not Cover
523,100,15,600,10,-1,Not Cover
524,100,15,600,15,-1,Not Cover
525,100,15,600,20,-1,Not Cover
526,100,15,600,25,-1,Not Cover
527,100,15,600,30,-1,Not Cover
528,100,20,180,5,-1,Not Cover
529,100,20,180,10,-1,Not Cover
530,100,20,180,15,-1,Not Cover
531,100,20,180,20,-1,Not Cover
532,100,20,180,25,-1,Not Cover
533,100,20,180,30,-1,Not Cover
534,100,20,240,5,-1,Not Cover
535,100,20,240,10,-1,Not Cover
536,100,20,240,15,-1,Not Cover
537,100,20,240,20,-1,Not Cover
538,100,20,240,25,-1,Not Cover
539,100,20,240,30,-1,Not Cover
540,100,20,300,5,-1,Not Cover
541,100,20,300,10,-1,Not Cover
542,100,20,300,15,-1,Not Cover
543,100,20,300,20,-1,Not Cover
544,100,20,300,25,-1,Not Cover
545,100,20,300,30,-1,Not Cover
546,100,20,360,5,-1,Not Cover
547,100,20,360,10,-1,Not Cover
548,100,20,360,15,-1,Not Cover
549,100,20,360,20,-1,Not Cover
550,100,20,360,25,-1,Not Cover
551,100,20,360,30,-1,Not Cover
552,100,20,420,5,-1,Not Cover
553,100,20,420,10,-1,Not Cover
554,100,20,420,15,-1,Not Cover
555,100,20,420,20,-1,Not Cover
556,100,20,420,25,-1,Not Cover
557,100,20,420,30,-1,Not Cover
558,100,20,480,5,-1,Not Cover
559,100,20,480,10,-1,Not Cover
560,100,20,480,15,-1,Not Cover
561,100,20,480,20,-1,Not Cover
562,100,20,480,25,-1,Not Cover
563,100,20,480,30,-1,Not Cover
564,100,20,540,5,-1,Not Cover
565,100,20,540,10,-1,Not Cover
566,100,20,540,15,-1,Not Cover
567,100,20,540,20,-1,Not Cover
568,100,20,540,25,-1,Not Cover
569,100,20,540,30,-1,Not Cover
570,100,20,600,5,-1,Not Cover
571,100,20,600,10,-1,Not Cover
572,100,20,600,15,-1,Not Cover
573,100,20,600,20,-1,Not Cover
574,100,20,600,25,-1,Not Cover
575,100,20,600,30,-1,Not Cover
576,100,25,180,5,-1,Not Cover
577,100,25,180,10,-1,Not Cover
578,100,25,180,15,-1,Not Cover
579,100,25,180,20,-1,Not Cover
580,100,25,180,25,-1,Not Cover
581,100,25,180,30,-1,Not Cover
582,100,25,240,5,-1,Not Cover
583,100,25,240,10,-1,Not Cover
584,100,25,240,15,-1,Not Cover
585,100,25,240,20,-1,Not Cover
586,100,25,240,25,-1,Not Cover
587,100,25,240,30,-1,Not Cover
588,100,25,300,5,-1,Not Cover
589,100,25,300,10,-1,Not Cover
590,100,25,300,15,-1,Not Cover
591,100,25,300,20,-1,Not Cover
592,100,25,300,25,-1,Not Cover
593,100,25,300,30,-1,Not Cover
594,100,25,360,5,-1,Not Cover
595,100,25,360,10,-1,Not Cover
596,100,25,360,15,-1,Not Cover
597,100,25,360,20,-1,Not Cover
598,100,25,360,25,-1,Not Cover
599,100,25,360,30,-1,Not Cover
600,100,25,420,5,-1,Not Cover
601,100,25,420,10,-1,Not Cover
602,100,25,420,15,-1,Not Cover
603,100,25,420,20,-1,Not Cover
604,100,25,420,25,-1,Not Cover
605,100,25,420,30,-1,Not Cover
606,100,25,480,5,-1,Not Cover
