,node_number,drone_number,capacity_of_drones,arc_weight,result,type
471,16,10,540,20,933.0,Optimal
472,16,10,540,25,1165.0,Optimal
473,16,10,540,30,1397.0,Optimal
474,16,10,600,5,232.0,Optimal
475,16,10,600,10,464.0,Optimal
476,16,10,600,15,699.0,Optimal
477,16,10,600,20,933.0,Optimal
478,16,10,600,25,1165.0,Optimal
479,16,10,600,30,1397.0,Optimal
480,16,15,180,5,-1,Infeasible
481,16,15,180,10,-1,Not Cover
482,16,15,180,15,-1,Not Cover
483,16,15,180,20,-1,Not Cover
484,16,15,180,25,-1,Not Cover
485,16,15,180,30,-1,Not Cover
486,16,15,240,5,384.0,Optimal
487,16,15,240,10,768.0,Optimal
488,16,15,240,15,-1,Not Cover
489,16,15,240,20,-1,Not Cover
490,16,15,240,25,-1,Not Cover
491,16,15,240,30,-1,Not Cover
492,16,15,300,5,384.0,Optimal
493,16,15,300,10,768.0,Optimal
494,16,15,300,15,1154.0,Optimal
495,16,15,300,20,1540.0,Optimal
496,16,15,300,25,-1,Not Cover
497,16,15,300,30,-1,Not Cover
498,16,15,360,5,384.0,Optimal
499,16,15,360,10,768.0,Optimal
500,16,15,360,15,1154.0,Optimal
501,16,15,360,20,1540.0,Optimal
502,16,15,360,25,1924.0,Optimal
503,16,15,360,30,-1,Not Cover
504,16,15,420,5,384.0,Optimal
505,16,15,420,10,768.0,Optimal
506,16,15,420,15,1154.0,Optimal
507,16,15,420,20,1540.0,Optimal
508,16,15,420,25,1924.0,Optimal
509,16,15,420,30,2308.0,Optimal
510,16,15,480,5,384.0,Optimal
511,16,15,480,10,768.0,Optimal
512,16,15,480,15,1154.0,Optimal
513,16,15,480,20,1540.0,Optimal
514,16,15,480,25,1924.0,Optimal
515,16,15,480,30,2308.0,Optimal
516,16,15,540,5,384.0,Optimal
517,16,15,540,10,768.0,Optimal
518,16,15,540,15,1154.0,Optimal
519,16,15,540,20,1540.0,Optimal
520,16,15,540,25,1924.0,Optimal
521,16,15,540,30,2308.0,Optimal
522,16,15,600,5,384.0,Optimal
523,16,15,600,10,768.0,Optimal
524,16,15,600,15,1154.0,Optimal
525,16,15,600,20,1540.0,Optimal
526,16,15,600,25,1924.0,Optimal
527,16,15,600,30,2308.0,Optimal
528,16,20,180,5,-1,Infeasible
529,16,20,180,10,-1,Infeasible
530,16,20,180,15,-1,Not Cover
531,16,20,180,20,-1,Not Cover
532,16,20,180,25,-1,Not Cover
533,16,20,180,30,-1,Not Cover
534,16,20,240,5,-1,Infeasible
535,16,20,240,10,-1,Infeasible
536,16,20,240,15,-1,Infeasible
537,16,20,240,20,-1,Not Cover
538,16,20,240,25,-1,Not Cover
539,16,20,240,30,-1,Not Cover
540,16,20,300,5,-1,Infeasible
541,16,20,300,10,-1,Infeasible
542,16,20,300,15,-1,Infeasible
543,16,20,300,20,-1,Infeasible
544,16,20,300,25,-1,Not Cover
545,16,20,300,30,-1,Not Cover
546,16,20,360,5,-1,Infeasible
547,16,20,360,10,-1,Infeasible
548,16,20,360,15,-1,Infeasible
549,16,20,360,20,-1,Infeasible
550,16,20,360,25,-1,Infeasible
551,16,20,360,30,-1,Infeasible
552,16,20,420,5,-1,Infeasible
553,16,20,420,10,-1,Infeasible
554,16,20,420,15,-1,Infeasible
555,16,20,420,20,-1,Infeasible
556,16,20,420,25,-1,Infeasible
557,16,20,420,30,-1,Infeasible
558,16,20,480,5,-1,Infeasible
559,16,20,480,10,-1,Infeasible
560,16,20,480,15,-1,Infeasible
561,16,20,480,20,-1,Infeasible
562,16,20,480,25,-1,Infeasible
563,16,20,480,30,-1,Infeasible
564,16,20,540,5,-1,Infeasible
565,16,20,540,10,-1,Infeasible
566,16,20,540,15,-1,Infeasible
567,16,20,540,20,-1,Infeasible
568,16,20,540,25,-1,Infeasible
569,16,20,540,30,-1,Infeasible
